,CIDADE,QUANTIDADE,FORMATO
1515,Riverside,68.0,Other
1530,Kelseyville,6.0,Disk
1536,California,1.0,Circle
1545,Mecca,2.0,Unknown
1554,Hollywood,15.0,
1555,Lake Forest,11.0,Light
1564,Pomona,27.0,Oval
1565,Clovis,29.0,Circle
1575,Barstow,10.0,Disk
1588,Palmdale,34.0,Sphere
1606,Laguna Woods,5.0,Circle
1611,Healdsburg,7.0,Triangle
1626,Palm Springs,36.0,Other
1634,Paincines (Pinnacle Rocks in Pinnacles National Monument),3.0,Changing
1650,Valley Springs,5.0,Sphere
1659,Barstow,10.0,Circle
1669,Pinnacles National Monument,1.0,Triangle
1670,unknown,2.0,Disk
1680,Concord,15.0,Triangle
1688,Temecula,48.0,Light
1701,Carmichael,12.0,Other
1711,Altadena,3.0,Light
1713,San Diego,277.0,Sphere
1734,Lompoc,7.0,Other
1745,San Diego,277.0,Other
1748,San Diego,277.0,Light
1792,Fresno (near),1.0,Cigar
1800,Vallejo,18.0,Unknown
1804,Edwards AFB,2.0,Triangle
1832,Earp,3.0,Unknown
1853,Santa Barbara,54.0,Triangle
1854,Lee Vining,2.0,Light
1865,Palo Alto/San Francisco,1.0,
1877,Fremont,27.0,Light
1921,Bakersfield,63.0,Sphere
1928,Willow Creek,1.0,Light
1957,Mammoth Lakes (near ),1.0,Formation
1960,San Bernardino,41.0,Light
1961,Atascadero,6.0,Cigar
1967,Woodland Hills,15.0,Sphere
1972,Union City,8.0,Triangle
1976,Lake Elsinore,23.0,Light
1977,"Furnace Creek, ca (death valley)",1.0,Light
1982,Burlingame,2.0,Cigar
1993,Patterson,9.0,Changing
1994,Los Angeles,254.0,Light
2001,Redding,46.0,Fireball
2005,American Canyon,4.0,Cylinder
2011,San Francisco (50 miles south of),1.0,Sphere
2012,Bakersfield,63.0,Changing
2016,Devore,2.0,Oval
2019,Desert Hot Springs,11.0,Chevron
2020,North Hills,2.0,Egg
2030,Roseville,38.0,Other
2034,San Francisco,125.0,Sphere
2049,Jackson,3.0,Circle
2060,Los Angeles,254.0,Unknown
2070,Los Angeles,254.0,Triangle
2076,Santa Maria,20.0,Rectangle
2099,San Diego,277.0,Fireball
2103,Fallbrook,11.0,Light
2104,Pismo Beach,4.0,Light
2112,Norwalk,21.0,Light
2113,Whittier,29.0,Fireball
2120,Anza Borrego State Park,1.0,Triangle
2142,Crockett,1.0,Other
2146,Eureka,19.0,Sphere
2147,Fairfield,31.0,Unknown
2155,Industry,1.0,Oval
2186,La Quinta,6.0,Light
2201,Huntington Park,3.0,Changing
2202,Malibu,14.0,Other
2211,Orland,13.0,Sphere
2212,Orland,13.0,Sphere
2216,Mira Loma,4.0,Fireball
2221,Santa Clarita,18.0,Circle
2226,Los Angeles,254.0,Changing
2228,Los Angeles,254.0,Disk
2231,San Jose,160.0,Other
2233,Sacramento (60 east of),1.0,Light
2234,El Dorado Hills (Sacramento),1.0,Unknown
2235,Hollister,22.0,Unknown
2236,Fresno,96.0,Light
2238,Nevada City,3.0,Light
2248,Newhall,5.0,Circle
2254,San Jose,160.0,Other
2262,Palm Desert,27.0,Light
2271,Bakersfield,63.0,Sphere
2278,Santa Clara,17.0,Oval
2305,Tranquillity,1.0,Circle
2307,Campbell,16.0,Light
2311,"Malibu, West",1.0,Cylinder
2321,Murrieta,23.0,Unknown
2332,Torrance,33.0,Other
2349,Sonora,11.0,Light
2353,Jacumba,1.0,Cigar
2355,Fresno,96.0,Light
2358,La Puente,13.0,Chevron
2361,San Mateo,11.0,Unknown
2370,Wasco,1.0,Unknown
2381,Esparto,1.0,Disk
2389,La Mirada,9.0,Light
2390,Malibu,14.0,Disk
2398,Redwood City,12.0,Sphere
2399,Los Alamitos,2.0,Light
2406,Carmichael,12.0,Triangle
2407,Campbell,16.0,Unknown
2417,Folsom,17.0,Disk
2422,Oakland,49.0,Unknown
2425,Somes Bar,1.0,Light
2429,Yuba City,10.0,Light
2430,San Jose,160.0,Light
2431,Los Altos Hills,2.0,Light
2432,Sacramento,177.0,
2433,NAS Lemoore,1.0,Light
2441,Twenty Nine Palms,6.0,Chevron
2442,Palmdale,34.0,Unknown
2449,Lafayette,5.0,Unknown
2467,Pomona,27.0,Light
2470,Westminster,15.0,Fireball
2473,San Leandro,14.0,Circle
2491,San Jose,160.0,Changing
2500,San Onofre,1.0,Light
2510,Ukiah,14.0,Teardrop
2511,Woodland Hills,15.0,Disk
2516,Camarillo,10.0,Circle
2529,Pasadena,26.0,Unknown
2537,Crescent City,6.0,Unknown
2540,Riverside,68.0,Unknown
2541,Los Angeles,254.0,Light
2542,Vista,21.0,Oval
2547,Davis,23.0,Unknown
2561,Victorville,15.0,Egg
2585,San Jose,160.0,Triangle
2592,Santa Fe Springs,4.0,Egg
2605,Los Angeles,254.0,Other
2606,Fullerton,25.0,Disk
2618,Pacifica,8.0,Cigar
2620,San Jose,160.0,Triangle
2623,Valley Springs,5.0,Flash
2634,Pittsburg/Antioch,3.0,Disk
2641,Mission Hills,4.0,Light
2649,Sacramento,177.0,Unknown
2662,Murrieta,23.0,Triangle
2666,South Lake Tahoe,10.0,Light
2667,San Clemente,24.0,Triangle
2670,El Cajon,49.0,Triangle
2675,Spring Valley,13.0,Disk
2686,Lafayette,5.0,
2730,Sonora,11.0,Disk
2732,Simi Valley,34.0,Light
2744,Fresno,96.0,Triangle
2747,San Ramon,12.0,Sphere
2748,Mill Valley,3.0,Other
2752,Santa Ana,35.0,Formation
2756,Los Angeles,254.0,Sphere
2757,Canyon Country,7.0,Circle
2783,Bodie (near),1.0,Circle
2804,Marysville,9.0,Triangle
2824,Sonoma,24.0,Circle
2825,Sonoma,24.0,Circle
2826,Sonoma,24.0,Fireball
2829,Richmond,12.0,Flash
2835,Canyon Country,7.0,Chevron
2838,Antelope Acres,1.0,Other
2851,Fresno,96.0,Light
2852,San Fransisco,2.0,Diamond
2853,Colinga (near),1.0,Light
2858,Chula Vista,27.0,Light
2869,Danville,5.0,Circle
2871,San Bruno,3.0,Unknown
2875,Richmond,12.0,Circle
2878,Azusa,11.0,Egg
2884,Novato,11.0,Light
2885,Sonoma,24.0,Flash
2889,Palm Desert,27.0,Unknown
2891,Three Rocks,2.0,Triangle
2898,Newport Beach,27.0,Circle
2903,Yorba Linda,12.0,Sphere
2908,El Monte,7.0,Fireball
2911,Sonora,11.0,Fireball
2932,Kettleman City/Coalinga (between),1.0,Triangle
2944,Van Nuys,19.0,Triangle
2949,La Jolla,15.0,Formation
2970,Woodland Hills,15.0,Formation
2974,Sacramento,177.0,Cigar
2975,Yosemite National Park,3.0,Light
2983,Sonoma,24.0,Fireball
2987,Indio,24.0,Fireball
2996,Los Angeles,254.0,Circle
3000,Los Angeles,254.0,Circle
3004,Maywood,6.0,Unknown
3007,Los Angeles,254.0,Triangle
3010,Redwood City,12.0,Circle
3012,Imperial Beach,8.0,Changing
3026,San Pedro,21.0,Triangle
3037,Fullerton,25.0,Sphere
3038,Los Angels,1.0,Triangle
3041,Dublin,9.0,Unknown
3042,San Dimas,11.0,Light
3045,I-5 (California,1.0,Triangle
3046,San Jacinto,15.0,Unknown
3051,Watts,1.0,Light
3057,Martinez,15.0,Other
3072,Los Angeles,254.0,Cigar
3073,Anza Borrego,1.0,Light
3075,Laguna Beach,16.0,Circle
3076,Simi Valley,34.0,Circle
3083,Pittsburg,12.0,Disk
3089,Corona,54.0,Light
3095,El Cajon,49.0,Unknown
3096,El Cajon,49.0,Unknown
3097,Rancho San Diego,2.0,Light
3104,South Lake Tahoe,10.0,Triangle
3107,Paramount,8.0,Sphere
3115,Northridge,8.0,Changing
3119,"Chula Vista campground parking lot, Mt. Pinos",1.0,Light
3123,Fairfield,31.0,Light
3129,Valley Springs,5.0,Disk
3130,Tehachapie (outside of),1.0,Disk
3134,Mount Shasta,8.0,Triangle
3142,Alturas,1.0,Light
3152,Grass Valley,19.0,Diamond
3157,Redwood City,12.0,Circle
3162,South Gate,12.0,Other
3166,Los Angeles (Glassel Park),1.0,Fireball
3167,Redwood City,12.0,Changing
3170,Burbank,48.0,Sphere
3173,Apple Valley (Panoche Road),1.0,Unknown
3180,San Jose,160.0,Other
3193,Chatsworth,9.0,Sphere
3200,Fairfield,31.0,Cone
3201,Hollywood,15.0,Oval
3202,Chatsworth,9.0,Triangle
3219,Lake Forest,11.0,Oval
3220,Lancaster,30.0,Sphere
3230,Twin Lakes,1.0,Circle
3231,Bridgeport,3.0,Circle
3232,San Diego,277.0,Oval
3234,Tijuana (Mexico),1.0,Cigar
3235,Redding,46.0,Circle
3242,Bishop (closest town),1.0,Light
3244,Redlands,21.0,Circle
3248,Desolation Wilderness,2.0,Triangle
3252,Los Angeles,254.0,Circle
3263,Simi Valley,34.0,Rectangle
3270,Coloma,2.0,Fireball
3276,El Cajon,49.0,Light
3283,Yorba Linda,12.0,Disk
3288,Campbell,16.0,Chevron
3293,San Jose,160.0,Changing
3306,Escondido,56.0,Light
3319,Granada Hills/Mission Hills,1.0,Disk
3324,Eureka,19.0,Sphere
3332,Redding,46.0,Egg
3333,Menifee,21.0,Light
3352,Sacramento,177.0,Cigar
3365,Bridgeville,2.0,Triangle
3368,Sacramento (east of),2.0,
3376,Sacramento (east of),2.0,
3384,San Diego,277.0,Light
3389,Chatsworth,9.0,Triangle
