,CIDADE,QUANTIDADE,FORMATO
10692,Bakesrsfield,1.0,Diamond
10718,Clovis,29.0,Circle
10720,Valley Village,5.0,Sphere
10721,Bakersfield,63.0,Disk
10726,Manteca,15.0,Other
10728,Salinas,24.0,Light
10731,San Ramon,12.0,Disk
10743,Lone Pine,3.0,Oval
10753,Costa Mesa,19.0,Other
10806,Simi Valley,34.0,Light
10808,Santa Clara,17.0,Rectangle
10815,Santa Clara,17.0,Light
10817,Agoura Hills,5.0,Light
10822,Lake Arrowhead,8.0,Other
10828,North Hollywood,21.0,Sphere
10836,Winnetka,3.0,Teardrop
10841,Dana Point,16.0,Disk
10842,Lake Forest,11.0,Circle
10849,Petaluma,22.0,Cigar
10854,Parlier,1.0,Light
10859,Cloverdale,6.0,Sphere
10860,Chatsworth,9.0,Changing
10862,Palmdale,34.0,Light
10863,Santa Barbara,54.0,Fireball
10868,San Francisco,125.0,Triangle
10869,Barstow,10.0,Oval
10870,Los Angeles,254.0,Cigar
10872,Fremont,27.0,Other
10874,Ventura,47.0,Changing
10882,Norwalk,21.0,Disk
10883,Norwalk,21.0,Oval
10887,Vallejo,18.0,Triangle
10900,Calexico,3.0,Triangle
10903,Sun City,3.0,Fireball
10919,Chula Vista,27.0,Rectangle
10928,Corona,54.0,Fireball
10929,Orange,30.0,Flash
10931,San Bernardino,41.0,Circle
10932,Castaic,2.0,Sphere
10934,Los Angeles,254.0,Fireball
10938,Pacific Palisades,4.0,Flash
10944,Panorama City,3.0,Circle
10950,Sierra Nevada (Gross Ridge area),1.0,Circle
10956,Cypress,4.0,Fireball
10957,Van Nuys,19.0,Formation
10995,Visalia,35.0,Oval
10998,San Luis Obispo/Morro Bay (between),1.0,Cylinder
10999,Morgan Hill,11.0,Fireball
11014,Santa Clara,17.0,Oval
11026,Oxnard,40.0,Light
11027,McKinleyville,3.0,Other
11036,San Francisco,125.0,Circle
11042,Glendale,25.0,Light
11054,San Luis Obispo,14.0,Other
11058,Tulare,6.0,Sphere
11060,Mountain View,8.0,Triangle
11081,Sacramento (approx. 45 mi. from; heading to San Francisco),1.0,Disk
11090,Fresno,96.0,Light
11092,Atascadero,6.0,Light
11094,Orangevale,9.0,Sphere
11101,Long Beach,94.0,Fireball
11102,Bakersfield,63.0,Other
11115,Modesto,68.0,Sphere
11118,Lodi,15.0,Light
11119,Orangevale,9.0,Unknown
11129,Canoga Park,12.0,Disk
11133,Red Bluff,8.0,Circle
11166,Palmdale,34.0,Oval
11168,Roseville,38.0,Cylinder
11177,Sacramento,177.0,Circle
11184,Norwalk,21.0,Flash
11202,Sebastopol,11.0,Triangle
11209,Ojai,9.0,Changing
11214,Orleans,2.0,Light
11220,Van Nuys,19.0,Diamond
11229,Bakersfield,63.0,Circle
11234,Val Verde/Castaic,1.0,Light
11270,Mira Loma,4.0,Other
11277,Gridley,1.0,Formation
11291,Fremont,27.0,Cylinder
11297,Dana Point,16.0,Triangle
11307,San Diego,277.0,Other
11319,Hemet,27.0,Oval
11343,Phelan,6.0,Circle
11355,Long Beach,94.0,Fireball
11361,Pleasanton,16.0,Teardrop
11366,Sierra Nevada Mountains,1.0,Light
11369,Escondido,56.0,Light
11373,Rancho Cucamonga,32.0,Light
11405,Rialto,13.0,Light
11428,Novato,11.0,
11448,Yucca Valley,6.0,Unknown
11449,Folsom,17.0,Circle
11452,Solana Beach,3.0,Disk
11477,Temecula,48.0,Sphere
11479,Sierra Madre,2.0,Rectangle
11489,Lucerne Valley,3.0,Unknown
11511,Dlbliss state park Lake Tahoe,1.0,Triangle
11512,Daly City,10.0,Disk
11520,Los Angeles,254.0,Unknown
11529,Chula Vist,1.0,Circle
11535,Garden Grove,30.0,Light
11546,Oxnard,40.0,Other
11564,Palmdale,34.0,Fireball
11570,Pollock Pines,6.0,Cylinder
11634,Petaluma,22.0,Sphere
11655,Cupertino,5.0,Sphere
11670,Santa Maria,20.0,Sphere
11671,Beverly Hills,5.0,Flash
11697,La Palma,4.0,Sphere
11713,Bakersfield,63.0,Changing
11715,Gardena,4.0,Cigar
11721,Thousand Oaks,22.0,Oval
11722,Palmdale,34.0,Cylinder
11734,Redondo Beach,26.0,Disk
11736,Long Beach,94.0,Triangle
11752,San Francisco,125.0,Disk
11756,Modesto,68.0,Unknown
11772,Trabuco Canyon,3.0,Oval
11805,Pacoima,4.0,Light
11807,Napa,28.0,Light
11813,North Highlands,5.0,Light
11820,San Diego (Mira Mesa),1.0,Changing
11834,Elverta,2.0,Rectangle
11844,Bakersfield (40 miles north of),1.0,Unknown
11845,Roseville,38.0,Egg
11848,Mendota,1.0,Light
11850,Norwalk,21.0,Light
11855,Brentwood,9.0,Oval
11858,Nipomo,6.0,Oval
11860,Napa,28.0,Light
11863,Sacramento,177.0,Disk
11864,La Habra,9.0,Sphere
11871,Delano,3.0,Unknown
11885,Bakersfield,63.0,Rectangle
11888,,,Triangle
11896,Lancaster,30.0,Changing
11903,Olema,1.0,Triangle
11913,Los Angeles,254.0,Light
11914,Fremont,27.0,Sphere
11925,Orangevale,9.0,Circle
11928,San Diego,277.0,Other
11929,Chula Vista,27.0,Circle
11931,Mission Beach (San Diego),1.0,Light
11938,Sunnyvale,10.0,Egg
11954,Dublin,9.0,Circle
11956,Chula Vista,27.0,Oval
11960,Paso Robles,13.0,Cigar
11965,Irvine,55.0,Light
11981,Culver City,11.0,Chevron
12030,Riverside,68.0,Flash
12038,Riverside,68.0,Light
12048,Sonora,11.0,Circle
12050,Stockton,37.0,Fireball
12058,Burbank,48.0,Light
12068,Fullerton,25.0,Flash
12069,San Francisco,125.0,Circle
12074,Granda Hills,1.0,Sphere
12076,La Puente,13.0,Oval
12084,Santa Maria,20.0,Triangle
12086,Woodside,1.0,Triangle
12092,Felton,5.0,Formation
12094,Paramount,8.0,Triangle
12108,Montebello,9.0,Rectangle
12120,Playa del Rey,7.0,Flash
12131,Martinez,15.0,Oval
12138,Fremont,27.0,Changing
12152,Temecula,48.0,Triangle
12155,San Jacinto,15.0,Light
12175,South San Francisco,5.0,Unknown
12176,San Francisco,125.0,Triangle
12178,Sacramento,177.0,Light
12199,Los Angeles,254.0,Sphere
12200,Fortuna,5.0,Oval
12201,San Fernando,7.0,Sphere
12209,Salinas,24.0,Sphere
12210,Capistrano Beach,2.0,Cigar
12211,San Clemente,24.0,Changing
12217,San Francisco,125.0,Circle
12222,San Luis Obispo,14.0,Changing
12223,Acton or Palmdale,1.0,Triangle
12226,Cathedral City,15.0,Light
12227,Oxnard,40.0,Circle
12232,Los Angeles,254.0,Fireball
12252,San Diego,277.0,Triangle
12263,Riverside,68.0,Egg
12268,Riverside,68.0,Other
12272,Los Angeles (150-200 mi. e or ne of),1.0,Sphere
12289,San Juan Capistrano,8.0,Circle
12294,Hemet,27.0,Unknown
12297,Pleasant Hill,5.0,Disk
12299,Interstate 5 (10 miles south of Rte. 165),1.0,Triangle
12305,Manhattan Beach,9.0,Triangle
12306,Rancho Cucamonga,32.0,Diamond
12307,Hermosa Brach,1.0,Disk
12308,San Diego,277.0,Fireball
12310,Mather,1.0,Oval
12312,Rescue,2.0,Triangle
12313,San Jose,160.0,Fireball
12314,Dublin,9.0,Disk
12318,Stockton,37.0,Sphere
12334,Woodland Hills,15.0,Cigar
12358,San Jose,160.0,Egg
12360,Paso Robles,13.0,Cigar
12362,Beverly Hills/ Los Angeles,1.0,Circle
12366,Ridgecrest (near),1.0,Unknown
12367,Ridgecrest,24.0,Light
12369,Manteca,15.0,Unknown
12371,Murrieta,23.0,Light
12372,San Diego,277.0,Circle
12374,Laguna Woods,5.0,Circle
12381,Modesto,68.0,Triangle
12392,Martinez,15.0,Light
12398,Gilroy,12.0,Sphere
12411,San Bernardino/Devore,1.0,Unknown
12414,Gardena,4.0,Chevron
12424,South Gate,12.0,Fireball
12425,Hermosa Beach,7.0,Triangle
12427,Los Angeles,254.0,Fireball
12430,Orange,30.0,Unknown
12459,Palos Verdes,4.0,Circle
12460,Newport Beach,27.0,Sphere
12462,El Dorado Hills,5.0,Triangle
12470,Duarte,4.0,Light
12482,Carson/Los Angeles City,1.0,Light
12484,La Jolla,15.0,Triangle
12501,Sylmar,10.0,Disk
12511,San Jose,160.0,Formation
12517,Escondido,56.0,Oval
12519,Solavang,1.0,Fireball
12529,Victorville,15.0,Light
12535,Palm Springs,36.0,Disk
12536,El Centro,14.0,Cylinder
12549,Wonder Valley,1.0,Disk
12551,Doris/Weed (between),1.0,Sphere
12559,Windsor,9.0,Light
12562,Davis,23.0,Changing
12563,Davis,23.0,Other
12572,Gaviota,1.0,
12573,San Diego,277.0,Fireball
12574,Avila Beach,2.0,Changing
12576,Pismo Beach,4.0,Changing
12577,Solvang,3.0,Fireball
12580,Sacramento,177.0,Light
12584,Long Beach,94.0,Fireball
12600,Jenner,2.0,Circle
12603,Camarillo,10.0,Other
12607,Sacramento,177.0,Light
12616,Redondo Beach,26.0,Formation
12618,Arbuckle,3.0,Light
12621,Lodi,15.0,Disk
12626,Hayward,26.0,Sphere
12630,Encino,6.0,Other
12631,Los Angeles,254.0,Formation
12644,Victorville,15.0,Changing
12652,Huntington Beach,64.0,Changing
12669,Pacifica to Belmont,1.0,Light
12679,Rancho Santa Margarita,10.0,Light
12682,Manteca,15.0,Changing
12686,Santa Ana,35.0,Disk
12687,Playa del Rey,7.0,Sphere
12698,Fairfield,31.0,Rectangle
12699,Woodland,12.0,Light
12701,San Ramon,12.0,Egg
12715,San Diego,277.0,Other
12717,Irvine,55.0,Disk
12723,Manteca,15.0,Circle
12731,Vallejo,18.0,Sphere
12733,Hemet,27.0,Formation
12737,Barstow,10.0,Other
12740,San Francisco,125.0,Circle
12741,Clovis,29.0,Other
12743,Santa Rosa,67.0,Light
12759,Los Angeles,254.0,Triangle
12765,Riverside,68.0,Light
12768,Concord,15.0,Light
12770,Monrovia,8.0,Unknown
12774,San Diego,277.0,Disk
12783,Fremont,27.0,Triangle
12791,Martinez,15.0,Light
12792,Irvine,55.0,Disk
12809,Santa Maria,20.0,Other
12813,Midway City,1.0,Triangle
12814,Ukiah,14.0,Light
12828,San Ramon,12.0,Cylinder
12838,San Francisco,125.0,Unknown
12860,Castro Valley,16.0,Circle
12868,Riverside,68.0,Light
12869,Woodland,12.0,Light
12883,Panoche/Mendota (between; on I-5),1.0,Triangle
12885,Oakland,49.0,Light
12894,Carlsbad,39.0,Light
12898,Sunnyvale,10.0,Other
12907,Cabazon,2.0,Light
12926,Hollywood,15.0,Light
12927,Simi Valley,34.0,Oval
12928,Modesto,68.0,Formation
12946,Malibu,14.0,Flash
12947,San Diego,277.0,Rectangle
12960,San Diego,277.0,Light
12961,San Diego (Clairemont),1.0,Fireball
12964,Carson,6.0,Light
12965,Clovis,29.0,Light
12969,Los Angeles,254.0,Cigar
12982,Los Angeles (downtown),2.0,Other
13003,Carmichael,12.0,Light
13011,Penn Valley,6.0,Light
13015,Whittier,29.0,Circle
13018,Edwards,2.0,Light
13020,San Francisco,125.0,Light
13027,Spring Valley,13.0,Circle
13030,Ludlow,1.0,Unknown
13042,Tustin,13.0,Triangle
13046,Palos Verdes,4.0,Other
13056,San Luis Obispo,14.0,Light
13058,Norco,4.0,Formation
13065,Folsom,17.0,Circle
13067,Antelope,10.0,Rectangle
13068,Citrus Heights,17.0,Sphere
13070,Roseville,38.0,Circle
13075,National City/San Diego,1.0,Light
13083,Granite Bay,7.0,Rectangle
13084,Laguna Hills,14.0,Triangle
13085,Orange,30.0,Triangle
13093,Manteca,15.0,Triangle
13099,Chula Vista,27.0,Light
13109,Beverly Hills,5.0,Sphere
13112,McCloud,1.0,Cone
13115,Lancaster,30.0,Circle
13116,Playa Del Rey,3.0,Circle
13126,Morongo Valley,5.0,Light
13129,Hermosa Beach,7.0,Triangle
13134,Vista,21.0,Light
13139,Morongo Valley,5.0,Light
13141,Los Angeles,254.0,Circle
13144,Santa Rosa,67.0,Fireball
13147,Carlsbad,39.0,Cross
13150,San Francisco,125.0,Rectangle
13155,San Francisco,125.0,Triangle
13156,San Juan Capistrano,8.0,Chevron
13157,Emeryville,5.0,Chevron
13163,Hanford,7.0,Disk
13167,San Francisco,125.0,Triangle
13169,Anaheim,62.0,Disk
13171,Los Angeles,254.0,Chevron
13173,Calabasas,5.0,Chevron
13180,Concord,15.0,Cross
13192,Long Beach,94.0,Sphere
13193,Davis,23.0,Light
13196,Quail Valley,3.0,Circle
13198,Hermosa Beach,7.0,Oval
13199,Long Beach,94.0,Fireball
13201,Los Angeles,254.0,Disk
13203,San Jose,160.0,Light
13209,Mission Viejo,24.0,Other
13210,Mission Viejo,24.0,Oval
13218,Palm Springs,36.0,Triangle
13227,Santa Clara,17.0,Chevron
13228,Norh Hollywood,1.0,Fireball
13239,San Clemente,24.0,Sphere
13242,San Clemente,24.0,Sphere
13243,Dana Point,16.0,Circle
13247,Trabuco Canyon,3.0,Cigar
13249,Arcadia,7.0,Sphere
13251,Palm Springs,36.0,
13259,Sacramento,177.0,Rectangle
13261,Modesto,68.0,Triangle
13272,Pasadena,26.0,Chevron
13274,Foothill Ranch,4.0,Flash
13276,San Diego,277.0,Triangle
13280,Dublin,9.0,Oval
13283,Los Angeles,254.0,Cone
13285,San Luis Obispo,14.0,Cylinder
13293,Pittsburg,12.0,
13310,Marysville,9.0,Light
13314,Port Hueneme,5.0,Light
13317,Redding,46.0,Sphere
13320,Los Angeles,254.0,Disk
13322,El Cajon,49.0,Oval
13346,Long Beach,94.0,Formation
13355,Los Angeles,254.0,Light
13356,El Cajon,49.0,Unknown
13360,Saugus,7.0,Triangle
13361,Saugus,7.0,Triangle
13364,Calistoga,3.0,Disk
13402,Downey,14.0,Other
13404,Laguna Hills,14.0,Diamond
13408,Laguna Niguel,17.0,Triangle
13410,Riverside,68.0,Formation
13411,Los Angeles,254.0,Sphere
13430,Riverside,68.0,Cigar
13432,Oakland,49.0,Circle
13434,Vallejo/Napa,1.0,Light
13437,San Jose,160.0,Sphere
13442,Huntington Beach,64.0,Light
13453,Harbor City,4.0,Unknown
13458,West Los Angeles,8.0,Fireball
13459,Los Angeles,254.0,Fireball
13463,Milpitas,9.0,Egg
13479,Riverside,68.0,Sphere
13485,Fresno,96.0,Triangle
13498,Chino,16.0,Fireball
13508,Baker (20 mi. outside of),1.0,Rectangle
13519,Sherman Oaks,22.0,Light
13520,Long Beach,94.0,Circle
13521,Los Angeles,254.0,Light
13522,Orinda/El Sobrante,1.0,Flash
13523,San Francisco,125.0,Light
13524,Torrance,33.0,Unknown
13525,Placentia,9.0,Light
13535,Huntington Beach,64.0,Light
13539,Stockton,37.0,Light
13549,Sun City,3.0,Formation
13550,Placerville,10.0,Cylinder
13554,Los Angeles,254.0,Light
13563,San Diego,277.0,Light
13568,Dixon,2.0,
13569,Dos Rios,1.0,Other
13572,Truckee (near Donner Lake),1.0,Light
13575,Los Angeles,254.0,Light
13579,Grover Beach,5.0,Fireball
13581,Rancho Palos Verdes,8.0,Triangle
13583,Rialto,13.0,Circle
13586,Huntington Beach,64.0,Light
13606,Westmoreland (5 miles NE of),1.0,Formation
13620,Huntington Beach,64.0,Light
13624,Tracy,18.0,Light
13633,Borrego Springs,5.0,Disk
13637,Brawley,6.0,Changing
13639,San Marcos,13.0,Light
13642,North Hollywood,21.0,Cylinder
13643,Anaheim,62.0,Triangle
13647,Downey,14.0,Sphere
13651,Huntington Beach,64.0,Changing
13652,Huntington Beach,64.0,Sphere
13667,San Diego,277.0,Disk
13668,Mission Hills,4.0,Light
13671,Whittier,29.0,Fireball
13687,Seal Beach,10.0,Light
13688,Rohnert Park,20.0,Disk
13695,Frazier Park,3.0,Teardrop
13701,N. Hollywood,3.0,Cone
13710,Santa Ana,35.0,Light
13719,Hayward,26.0,Disk
13722,Corona,54.0,Cigar
13737,Fresno,96.0,Triangle
13768,Fortuna,5.0,Triangle
13773,Fresno,96.0,Rectangle
13780,Berkeley (Moraga),1.0,Sphere
13785,Victorville,15.0,Rectangle
13787,Modesto,68.0,Unknown
13789,San Francisco/Benicia,1.0,Changing
13797,Chino HIlls,1.0,Oval
13798,Redondo Beach,26.0,Sphere
13805,Santa Barbara,54.0,Fireball
13807,Playa del Rey,7.0,Cigar
13813,Fontana,24.0,Formation
13814,Sun Valley,6.0,Triangle
13815,Anaheim Hills,2.0,Oval
13817,Buena Park,14.0,Changing
13818,Sacramento,177.0,Flash
13820,San Francisco,125.0,Light
13821,Westminster,15.0,Teardrop
13822,San Dimas,11.0,Oval
13823,Berkeley,23.0,Disk
13824,Fremont,27.0,Fireball
13825,Laguna Hills,14.0,Fireball
13826,Manhattan Beach,9.0,Light
13827,Irvine,55.0,Fireball
13828,San Diego,277.0,Flash
13831,Newbury Park,6.0,Triangle
13833,Los Angeles,254.0,Disk
13837,San Leandro,14.0,Rectangle
13840,San Diego,277.0,Flash
13847,Moraga,1.0,Light
13848,San Diego,277.0,Unknown
13849,Ukiah,14.0,Disk
13850,San Diego,277.0,Light
13851,San Diego,277.0,
13854,Anaheim,62.0,Disk
13856,Riverside,68.0,Egg
13858,Fullerton/Anaheim,1.0,Circle
13860,San Francisco,125.0,Light
13866,Van Nuys,19.0,Diamond
13868,Bakersfield,63.0,Formation
13871,Spring Valley,13.0,Light
13881,Orange County/San Bernardino,1.0,Disk
13892,Fairfax,3.0,Unknown
13896,Long Beach,94.0,Circle
13899,Grass Valley,19.0,Triangle
13908,Long Beach,94.0,Triangle
13911,Walnut Creek,9.0,Diamond
13913,Laguna Niguel,17.0,Circle
13916,Anza and Garner Valley (near),1.0,Unknown
13917,Montebello,9.0,Fireball
13922,San Francisco,125.0,Sphere
13935,Bridgeville,2.0,Light
13937,San Pablo,5.0,Formation
13945,San Francisco,125.0,Fireball
13946,Santa Ana,35.0,Oval
13947,Sacramento,177.0,Other
13949,Reseda/Studio City,1.0,Disk
13958,Rancho Cucamonga,32.0,Light
13973,Los Angeles,254.0,Light
13975,Dobbins,1.0,Unknown
13980,Rancho Cucamonga,32.0,Light
13984,Fillmore,4.0,Light
13989,Los Angeles,254.0,Other
13990,Rancho Cucamonga,32.0,Light
13996,Palmdale,34.0,Light
13997,Rancho Cucamonga,32.0,Light
13998,Nipomo,6.0,Other
14008,Norwalk,21.0,Sphere
14012,Concord,15.0,Triangle
14014,Ventura,47.0,Chevron
14015,San Jose,160.0,Circle
14016,Lancaster,30.0,Other
14017,Yankee Hill,1.0,Light
14050,Riverside,68.0,Light
14053,Olivehurst,4.0,Oval
14055,Concord,15.0,Unknown
14058,Pasadena,26.0,Sphere
14062,San Diego,277.0,Light
14064,El Cajon,49.0,Changing
14066,San Diego,277.0,Circle
14069,Canoga Park,12.0,Sphere
14070,Spring Valley,13.0,Light
14072,Palmdale,34.0,Circle
14073,various,1.0,Other
14074,Valley Springs,5.0,Changing
14076,Yorba Linda,12.0,Triangle
14089,Tahoe City,4.0,Cigar
14098,San Pablo Bay (on Napa River),1.0,Egg
14115,Dinuba,4.0,Sphere
14116,Citrus heights,1.0,Circle
14118,Corral Hollow road vicinity (on Interstate 5),1.0,Egg
14120,Fallbrook,11.0,Circle
14121,Oxnard,40.0,Other
14122,El Cajon,49.0,Triangle
14123,La Mesa,19.0,Formation
14124,El Cajon,49.0,Triangle
14125,San Fernando,7.0,Other
14130,San Bernardino,41.0,Triangle
14133,San Diego,277.0,Triangle
14143,Redondo Beach,26.0,Circle
14149,Corona,54.0,Circle
14156,San Clemente,24.0,Light
14160,Torrance,33.0,Sphere
14165,San Jose,160.0,Formation
14170,Palos Verdes Estates,3.0,Disk
14173,Stevenson Ranch,3.0,Light
14176,Rancho Cucamonga,32.0,Light
14179,Anaheim,62.0,Circle
14185,El Segundo,5.0,Light
14187,Mountain View,8.0,Disk
14188,Thousand Oaks,22.0,Light
14202,Angelus Oaks,1.0,Circle
14204,Visalia,35.0,Light
14228,Woodland,12.0,Light
14254,Fresno,96.0,Circle
14259,San Jacinto,15.0,Cigar
14267,San Diego,277.0,Light
14268,San Diego,277.0,Cigar
14269,San Diego,277.0,Fireball
14272,Los Angeles,254.0,Circle
14273,Irvine,55.0,Diamond
14276,Rancho Cordova,7.0,Light
14289,Azusa,11.0,Circle
14290,Los Angeles,254.0,Oval
14295,Grover Beach,5.0,Egg
14308,Lake View Terrace,1.0,Sphere
14323,Berkeley,23.0,Sphere
14340,Pittsburg,12.0,Oval
14345,San Diego,277.0,Fireball
14359,Earp,3.0,Formation
14362,San Diego,277.0,Cone
14367,Los Angeles,254.0,Light
14371,Weaverville,5.0,Egg
14374,Palm Desert,27.0,Chevron
14382,Madera,18.0,Sphere
14384,Shelter Cove,1.0,Unknown
14388,Dinuba,4.0,Triangle
14390,Carlsbad,39.0,Light
14393,Pleasanton,16.0,Light
14395,Duarte,4.0,Light
14399,Hawthorne,5.0,Circle
14409,Berkeley,23.0,Sphere
14410,Oakland,49.0,Light
14411,Rohnert Park,20.0,Sphere
14414,Pismo Beach,4.0,Cylinder
14420,Sacramento/Davis,1.0,Light
14426,Tujunga,6.0,Formation
14428,Kramer,1.0,Formation
14453,Santa Cruz,35.0,Triangle
14456,Simi Valley,34.0,Unknown
14457,Santa Rosa,67.0,Unknown
14459,Los Angeles,254.0,Unknown
14461,Sacramento,177.0,Changing
14462,Roseville,38.0,Formation
14463,Perris,11.0,Triangle
14473,Ventura,47.0,Formation
14474,Santa Clara,17.0,Unknown
14475,Berkeley,23.0,Formation
14477,Marina,3.0,Flash
14483,La Palma,4.0,Light
14498,Long Beach,94.0,Triangle
14510,San Diego,277.0,Circle
14514,Bakersfield,63.0,Oval
14521,San Diego,277.0,Circle
14523,San Francisco,125.0,Light
14553,San Bernardino,41.0,Formation
14558,Orland,13.0,Oval
14563,Long Beach,94.0,Changing
14565,Simi Valley,34.0,Triangle
14569,Dunlap,1.0,Light
14581,Santa Monica,23.0,Other
14586,San Luis Obispo,14.0,Circle
14587,Riverside,68.0,Light
14590,Nipomo,6.0,Light
14598,Hesperia,13.0,Light
14599,Woodland,12.0,Sphere
14609,Montecito,1.0,Light
14612,Murrieta,23.0,Circle
14622,Newport Beach,27.0,Rectangle
14627,Amboy,2.0,Light
14629,Palo Alto,11.0,Fireball
14632,Newport Beach,27.0,Circle
14637,Claremont,10.0,Light
14653,Porterville,20.0,Fireball
14667,Point Richmond,2.0,Sphere
14668,Westly,1.0,Chevron
14670,Duarte,4.0,Flash
14673,Long Beach,94.0,
14687,Arcata,13.0,Light
14697,Hollywood/Burbank city limit,1.0,Light
14702,Cherry Valley,2.0,Fireball
14707,Brea,7.0,Oval
14708,Brea,7.0,Oval
14713,Anaheim,62.0,Sphere
14715,Galt,7.0,Triangle
14723,Fremont,27.0,Flash
14747,Anaheim,62.0,Triangle
14752,Palm Springs,36.0,Cigar
14754,Baker,2.0,Light
14756,San Francisco,125.0,Flash
14785,Long Beach,94.0,Light
14786,El Cajon,49.0,Triangle
14790,Wilmington,7.0,Triangle
14791,Santa Barbara,54.0,Sphere
14814,Campbell,16.0,Light
14815,Modesto,68.0,Light
14817,Ontario,12.0,Circle
14818,Porterville,20.0,Circle
14821,Sun Valley,6.0,Light
14830,Hemet,27.0,Light
14836,Oxnard,40.0,Other
14851,Isla Vista,3.0,Triangle
14852,Santa Barbara,54.0,Triangle
14871,Newark,4.0,Triangle
14874,Encinitas,16.0,Sphere
14889,Arcadia,7.0,Cylinder
14890,Los Angeles,254.0,Teardrop
14915,Santa Barbara,54.0,Unknown
14929,Carson,6.0,Other
14939,Wilmington,7.0,Sphere
14945,Santa Rosa,67.0,Light
14948,Oceanside,32.0,Light
14977,Clovis,29.0,Formation
15025,San Leandro,14.0,Unknown
15032,Los Padres National Forest,1.0,Light
15047,Lincoln,16.0,Other
15056,Morongo Valley,5.0,Disk
15094,Lincoln Heights,1.0,Disk
15138,Alhambra,5.0,Flash
15146,Bass Lake (near),1.0,Disk
15154,Oakland,49.0,Light
15163,Livermore,18.0,Light
15169,Santa Barbara,54.0,Light
15170,Loma Rica,2.0,Teardrop
15171,Roseville,38.0,Fireball
15172,Oak Shores Lake Berryessa,1.0,Light
15183,Hemet,27.0,Light
15186,Santa Barbara,54.0,Triangle
15187,Santa Barbara,54.0,Chevron
15188,San Jacinto,15.0,Changing
15189,San Francisco,125.0,Disk
15190,Fontana,24.0,Formation
15191,Lemoore,6.0,Other
15199,Apple Valley,17.0,Triangle
15204,Sacramento,177.0,Cylinder
15209,Mountain View,8.0,Formation
15210,Quincy,7.0,Light
15212,Milpitas,9.0,Sphere
15214,North Hollywood,21.0,Light
15224,unknown,2.0,Formation
15226,Sacramento,177.0,Changing
15227,Temecula,48.0,Circle
15228,Sacramento,177.0,Changing
15235,Santa Rosa,67.0,Sphere
15251,Cloverdale,6.0,Other
15263,Oakland,49.0,Rectangle
15270,Bakersfield,63.0,Light
15279,Avnol (near),1.0,Triangle
15282,Valley Center,5.0,Oval
15297,Oroville,12.0,Cylinder
15298,Los Angeles,254.0,Disk
15299,Rohnert Park,20.0,Triangle
15306,Victorville,15.0,Diamond
15309,San Jose,160.0,Light
15318,Tiburon,3.0,Triangle
15324,Monterey Park / Los Angeles,1.0,Unknown
15327,Mountain Center,1.0,Light
15328,Interstate 5 (Fresno/Merced Counties),1.0,Disk
15332,Carlsbad,39.0,Light
15340,San Francisco,125.0,Fireball
15350,Santa Barbara,54.0,Changing
15355,Los Angeles,254.0,Light
15376,San Diego,277.0,Disk
15388,Emerald Bay Catalina island,1.0,Circle
15401,Daly City,10.0,Disk
15403,Garden Grove,30.0,Light
15405,Santa Clara,17.0,Sphere
15407,Dana Point,16.0,Sphere
15417,Encino,6.0,Light
15418,Encino,6.0,Light
15421,Gilroy,12.0,Sphere
15427,Bakersfield (near I-5),1.0,Other
15428,Penn Valley,6.0,Flash
15433,Whittier,29.0,Light
15439,Bermuda Dunes,2.0,Fireball
15449,Van Nuys,19.0,Circle
15457,Martinez,15.0,Light
15460,Modesto,68.0,Flash
15463,Barstow,10.0,Oval
15464,Escondido,56.0,Teardrop
15465,Emeryville,5.0,Cigar
15474,San Francisco,125.0,Oval
15476,Oakland,49.0,Light
15501,West Hollywood  and west,1.0,Light
15525,Lakewood,15.0,Light
15530,Soquel,4.0,Triangle
15536,Fallbrook,11.0,Other
15545,La Mirada,9.0,Light
15546,Los Angeles (Lincoln Heights),2.0,Circle
15548,Manteca,15.0,Other
15562,Van Nuys,19.0,Circle
15566,Long Beach/Cerritos,1.0,Triangle
15570,Hollister,22.0,Circle
15573,Elk Grove,33.0,Other
15576,Los Angeles (Lincoln Heights),2.0,Disk
15580,Santa Ana,35.0,Unknown
15584,Visalia,35.0,Formation
15593,La Verne,1.0,Rectangle
15594,Alta Loma,3.0,Unknown
15619,Burbank,48.0,Light
15625,Pomona,27.0,Light
15626,Antioch,38.0,Fireball
15639,Capitola,9.0,Light
15657,Poway,8.0,Disk
15694,Santa Paula,6.0,Disk
15696,Santa Paula,6.0,Oval
15699,Corona,54.0,Light
15707,Pollockpines,1.0,Light
15709,Auberry,3.0,Unknown
15710,Redding,46.0,Cigar
15711,Ridgecrest,24.0,Light
15712,Los Angeles,254.0,Sphere
15755,Escondido,56.0,Light
15757,Los Angeles,254.0,Circle
15758,Leggett,2.0,Light
15759,Sunnyvale,10.0,Disk
15777,Victorville,15.0,Circle
15801,Davis,23.0,Other
15807,Novato (??),1.0,Light
15812,Cabazon,2.0,Formation
15817,Newport Beach,27.0,Other
15819,Lake Forest,11.0,Unknown
15825,Escondido,56.0,Flash
15827,Santa Cruz,35.0,Light
15844,Los Altos,2.0,Disk
15847,Los Angeles,254.0,Oval
15849,San Clemente,24.0,Other
15852,Rancho Santa Margarita,10.0,Circle
15873,Cypress,4.0,Changing
15876,Santa Rosa,67.0,Light
15894,Orange,30.0,Other
15895,Three Rivers,3.0,Light
